"subject" "activity" "variable" "mean(value)"
1 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-x" -0.113658525846429
1 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-y" -0.0742782819
1 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-z" -0.296473813678571
1 "WALKING_DOWNSTAIRS" "fbodyacc-std()-x" -0.103948089932143
1 "WALKING_DOWNSTAIRS" "fbodyacc-std()-y" -0.0455758867178571
1 "WALKING_DOWNSTAIRS" "fbodyacc-std()-z" -0.112452208571429
1 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-x" -0.184777986714286
1 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-y" -0.22808852075
1 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-z" -0.434256061428571
1 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-x" -0.202478678509643
1 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-y" -0.224905915296429
1 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-z" -0.516095982857143
1 "WALKING_DOWNSTAIRS" "fbodyaccmag-mean()" -0.06760317325
1 "WALKING_DOWNSTAIRS" "fbodyaccmag-std()" -0.264349880378571
1 "WALKING_DOWNSTAIRS" "fbodybodyaccjerkmag-mean()" -0.119701861678571
1 "WALKING_DOWNSTAIRS" "fbodybodyaccjerkmag-std()" -0.254298875903571
1 "WALKING_DOWNSTAIRS" "fbodybodygyrojerkmag-mean()" -0.435965402464286
1 "WALKING_DOWNSTAIRS" "fbodybodygyrojerkmag-std()" -0.537559601428571
1 "WALKING_DOWNSTAIRS" "fbodybodygyromag-mean()" -0.248337149392857
1 "WALKING_DOWNSTAIRS" "fbodybodygyromag-std()" -0.324706683214286
1 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-x" -0.423577624642857
1 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-y" -0.186405372785714
1 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-z" -0.178911898535714
1 "WALKING_DOWNSTAIRS" "fbodygyro-std()-x" -0.535530097142857
1 "WALKING_DOWNSTAIRS" "fbodygyro-std()-y" -0.0339426658214286
1 "WALKING_DOWNSTAIRS" "fbodygyro-std()-z" -0.362665404285714
1 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-x" 0.272154196428571
1 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-y" -0.0153264487792857
1 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-z" -0.0949711475357143
1 "WALKING_DOWNSTAIRS" "tbodyacc-std()-x" -0.10438892475
1 "WALKING_DOWNSTAIRS" "tbodyacc-std()-y" -0.0102461790107143
1 "WALKING_DOWNSTAIRS" "tbodyacc-std()-z" -0.116902427035714
1 "WALKING_DOWNSTAIRS" "tbodyaccjerk-mean()-x" 0.0628772325714286
1 "WALKING_DOWNSTAIRS" "tbodyaccjerk-mean()-y" 0.0243084681678571
1 "WALKING_DOWNSTAIRS" "tbodyaccjerk-mean()-z" -0.0161821921428571
1 "WALKING_DOWNSTAIRS" "tbodyaccjerk-std()-x" -0.156114020335714
1 "WALKING_DOWNSTAIRS" "tbodyaccjerk-std()-y" -0.199718153632143
1 "WALKING_DOWNSTAIRS" "tbodyaccjerk-std()-z" -0.476050511428571
1 "WALKING_DOWNSTAIRS" "tbodyaccjerkmag-mean()" -0.219716752860714
1 "WALKING_DOWNSTAIRS" "tbodyaccjerkmag-std()" -0.173363865521429
1 "WALKING_DOWNSTAIRS" "tbodyaccmag-mean()" -0.0140828025671429
1 "WALKING_DOWNSTAIRS" "tbodyaccmag-std()" -0.101515471785714
1 "WALKING_DOWNSTAIRS" "tbodygyro-mean()-x" 0.00793679635714286
1 "WALKING_DOWNSTAIRS" "tbodygyro-mean()-y" -0.124194573607143
